permission.all,All Permissions,All Permissions
permission.admin.all,All Admin,All Admin
permission.admin.user,Add/Edit User,Add/Edit User
permission.admin.group,Add/Edit Group,Add/Edit Group
permission.home.all,All Home,All Home
permission.home.view,View Home,View Home
permission.projects.all,All Projects,All Projects
permission.projects.view,View Projects,View Projects
permission.projects.add,Add Projects,Add Projects
permission.tasks.all,All Tasks,All Tasks
permission.tasks.view,View Tasks,View Tasks
permission.tasks.add,Add Tasks,Add Tasks
permission.persons.all,All Persons,All Persons
permission.persons.view,View Persons,View Persons
permission.persons.add,Add Persons,Add Persons
permission.accommodation.all,All Accommodation,All Accommodation
permission.accommodation.view,View Accommodation,View Accommodation
permission.accommodation.add,Add Accommodation,Add Accommodation
permission.departments.all,All Departments,All Departments
permission.departments.view,View Departments,View Departments
permission.departments.add,Add Departments,Add Departments
permission.layout.all,All Layout,All Layout
permission.layout.view,View Layout,View Layout
permission.layout.add,Add Layout,Add Layout
permission.media.all,All Media,All Media
permission.media.view,View Media,View Media
permission.media.add,Add Media,Add Media